time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-17T01:25:18.810Z,34.9905,86.9236,10,5.1,mb,,68,7.011,1.04,us,us2000ck7m,2018-01-17T01:44:55.040Z,"Western Xizang",earthquake,7.1,1.9,0.054,111,reviewed,us,us
2018-01-14T09:19:30.530Z,36.4898,70.7448,204.16,5.3,mww,,44,0.648,1.11,us,us2000cjg0,2018-01-17T18:18:44.040Z,"42km S of Jarm, Afghanistan",earthquake,5.5,4.1,0.069,20,reviewed,us,us
2018-01-11T18:43:59.790Z,18.4395,96.0621,10,5.2,mb,,28,3.558,1.08,us,us2000cig2,2018-01-13T16:49:43.040Z,"39km W of Pyu, Burma",earthquake,7,1.8,0.054,115,reviewed,us,us
2018-01-11T18:42:59.530Z,18.4477,96.1748,10,5.2,mb,,62,2.651,1.06,us,us2000cifw,2018-01-11T20:00:08.691Z,"27km W of Pyu, Burma",earthquake,7.2,1.8,0.072,64,reviewed,us,us
2018-01-11T18:38:12.100Z,18.3339,96.0976,10,5.3,mb,,53,2.742,0.97,us,us2000cifm,2018-01-13T16:10:30.040Z,"39km WSW of Pyu, Burma",earthquake,6.7,1.2,0.055,109,reviewed,us,us
2018-01-11T18:26:24.400Z,18.363,96.0795,10,6,mww,,29,2.753,1.02,us,us2000cifa,2018-01-25T21:06:40.367Z,"39km WSW of Pyu, Burma",earthquake,5.2,1.8,0.052,35,reviewed,us,us
2018-01-07T06:47:14.550Z,24.7561,94.9132,22.77,5.5,mww,,31,0.765,0.86,us,us1000c1my,2018-01-09T17:05:48.040Z,"86km E of Yairipok, India",earthquake,5.9,4.3,0.073,18,reviewed,us,us
2017-12-29T11:29:38.640Z,8.4702,92.4321,22.98,5,mww,,58,3.18,0.79,us,us1000bxm9,2017-12-29T11:55:55.040Z,"112km WNW of Mohean, India",earthquake,4.9,4.7,0.073,18,reviewed,us,us
2017-12-28T20:23:34.520Z,22.0464,94.3909,87.59,5,mww,,48,0.942,0.84,us,us1000bx9g,2018-01-16T16:47:18.271Z,"77km W of Monywa, Burma",earthquake,6.5,4.8,0.068,21,reviewed,us,us
2017-12-19T17:40:55.590Z,29.964,95.0865,27.66,5.1,mb,,23,3.45,0.67,us,us1000bt6r,2018-01-15T17:32:46.040Z,"65km WNW of Zhamog, China",earthquake,7.2,4.2,0.039,217,reviewed,us,us
2017-12-08T02:51:18.860Z,27.7618,86.1471,10,5,mb,,40,4.781,0.68,us,us2000c1xk,2017-12-21T03:04:43.132Z,"28km SE of Kodari, Nepal",earthquake,8.5,1.8,0.046,151,reviewed,us,us
2017-12-06T23:29:03.790Z,35.7238,77.5618,74.3,5.2,mww,,30,4.097,0.82,us,us2000c1ea,2018-01-05T23:49:56.040Z,"116km NE of Thang, India",earthquake,7.1,4.3,0.086,13,reviewed,us,us
2017-12-06T15:19:49.970Z,30.6339,79.1601,10,5.1,mb,,50,5.831,0.75,us,us1000bmru,2017-12-14T00:08:43.425Z,"35km NW of Pipalkoti, India",earthquake,8.1,1.8,0.04,199,reviewed,us,us
2017-11-18T00:32:01.910Z,29.9311,94.8843,10,5.1,mb,,23,3.273,0.73,us,us2000bqtu,2017-11-20T04:12:33.589Z,"63km NE of Nyingchi, China",earthquake,7.8,1.8,0.039,214,reviewed,us,us
2017-11-17T22:34:19.440Z,29.8285,94.9827,8,6.4,mww,,13,3.354,0.74,us,us2000bqsn,2017-12-23T03:32:47.934Z,"63km ENE of Nyingchi, China",earthquake,7.1,1.7,0.043,52,reviewed,us,us
2017-10-28T17:45:32.600Z,36.1991,70.6618,101.46,5.2,mww,,20,0.927,0.74,us,us1000ay2z,2018-01-17T21:50:37.040Z,"21km NNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.5,4,0.089,12,reviewed,us,us
2017-10-12T07:52:28.400Z,32.074,95.0497,10,5.1,mb,,32,4.117,0.74,us,us1000aqmb,2018-01-09T02:14:56.040Z,"70km NNW of Gyamotang, China",earthquake,8.7,1.9,0.058,98,reviewed,us,us
